Word,First,Second,Third,Fourth,Fifth,Synonyms,Antonyms,Choose the Right Synonym,Priorty
Harassed,to worry and impede by repeated raids,to make repeated attacks against an enemy,to annoy again and again,"exhaust, fatigue",Oops! So Empty!,"break, burn out, bust, do in, do up, drain, exhaust, fag, fatigue, frazzle, kill, knock out, outwear, tire, tucker (out), wash out, wear, wear out, weary","break, burn out, bust, do in, do up, drain, exhaust, fag, fatigue, frazzle, kill, knock out, outwear, tire, tucker (out), wash out, wear, wear out, weary","worry, annoy, harass, harry, plague, pester, tease mean to disturb or irritate by persistent acts

worry implies an incessant goading or attacking that drives one to desperation
pursued a policy of worrying the enemy

annoy implies disturbing one's composure or peace of mind by intrusion, interference, or petty attacks
you're doing that just to annoy me

harass implies petty persecutions or burdensome demands that exhaust one's nervous or mental power
harassed on all sides by creditors

harry may imply heavy oppression or maltreatment
the strikers had been harried by thugs

plague implies a painful and persistent affliction
plagued all her life by poverty

pester stresses the repetition of petty attacks
constantly pestered with trivial complaints

tease suggests an attempt to break down one's resistance or rouse to wrath
children teased the dog",third
Harbinger,something that foreshadows a future event,a person sent ahead to provide lodgings,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"angel, foregoer, forerunner, herald, outrider, precursor","adumbrate, forerun, foreshadow, herald, prefigure","forerunner, precursor, harbinger, herald mean one that goes before or announces the coming of another

forerunner is applicable to anything that serves as a sign or presage
the blockade was the forerunner of war

precursor applies to a person or thing paving the way for the success or accomplishment of another
18th century poets like Burns were precursors of the Romantics

harbinger and herald both apply, chiefly figuratively, to one that proclaims or announces the coming or arrival of a notable event
their early victory was the harbinger of a winning season

the herald of a new age in medicine",first
Harbingers,something that foreshadows a future event,a person sent ahead to provide lodgings,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"angel, foregoer, forerunner, herald, outrider, precursor","adumbrate, forerun, foreshadow, herald, prefigure","forerunner, precursor, harbinger, herald mean one that goes before or announces the coming of another

forerunner is applicable to anything that serves as a sign or presage
the blockade was the forerunner of war

precursor applies to a person or thing paving the way for the success or accomplishment of another
18th century poets like Burns were precursors of the Romantics

harbinger and herald both apply, chiefly figuratively, to one that proclaims or announces the coming or arrival of a notable event
their early victory was the harbinger of a winning season

the herald of a new age in medicine",first
Harlot,a person who has sex with someone in exchange for money,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,third
Headstone,a memorial stone at the head of a grave,a stone that marks the place where a dead person is buried and that usually has the person's name and birth and death dates on it,a stone that marks a grave,Oops! So Empty!,Oops! So Empty!,"gravestone, monument, stone, tombstone","gravestone, monument, stone, tombstone",Oops! So Empty!,second
Headstrong,not easily restrained,directed by ungovernable will,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"froward, incontrollable, intractable, recalcitrant, refractory, uncontrollable, ungovernable, unmanageable, unruly, untoward, wayward, willful 
 (or wilful)","controllable, governable, manageable, tractable","unruly, ungovernable, intractable, refractory, recalcitrant, willful, headstrong mean not submissive to government or control

unruly implies lack of discipline or incapacity for discipline and often connotes waywardness or turbulence of behavior
unruly children

ungovernable implies either an escape from control or guidance or a state of being unsubdued and incapable of controlling oneself or being controlled by others
ungovernable rage

intractable suggests stubborn resistance to guidance or control
intractable opponents of the hazardous-waste dump

refractory stresses resistance to attempts to manage or to mold
special schools for refractory children

recalcitrant suggests determined resistance to or defiance of authority
acts of sabotage by a recalcitrant populace

willful implies an obstinate determination to have one's own way
a willful disregard for the rights of others

headstrong suggests self-will impatient of restraint, advice, or suggestion
a headstrong young cavalry officer",third
Hearth,"a brick, stone, or concrete area in front of a fireplace",an area (as of brick) in front of a fireplace,a vital or creative center,the floor of a fireplace,home,"abode, diggings, domicile, dwelling, fireside, habitation, hearthstone, home, house, lodging, pad, place, quarters, residence, roof","abode, diggings, domicile, dwelling, fireside, habitation, hearthstone, home, house, lodging, pad, place, quarters, residence, roof",Oops! So Empty!,first
Herald,an official at a tournament of arms (see arm entry 3 sense 1a) with duties including the making of announcements and the marshaling of combatants,an official crier or messenger,one that precedes or foreshadows,to give notice of,to greet especially with enthusiasm,"advocate, advocator, apostle, backer, booster, champion, espouser, exponent, expounder, friend, gospeler 
 (or gospeller), hierophant, high priest, paladin, promoter, proponent, protagonist, supporter, true believer, tub-thumper, white knight","adversary, antagonist, opponent","forerunner, precursor, harbinger, herald mean one that goes before or announces the coming of another

forerunner is applicable to anything that serves as a sign or presage
the blockade was the forerunner of war

precursor applies to a person or thing paving the way for the success or accomplishment of another
18th century poets like Burns were precursors of the Romantics

harbinger and herald both apply, chiefly figuratively, to one that proclaims or announces the coming or arrival of a notable event
their early victory was the harbinger of a winning season

the herald of a new age in medicine",first
Hiatus,a break in or as if in a material object,an interruption in time or continuity,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"breach, break, discontinuity, gap, gulf, hole, interstice, interval, opening, rent, rift, separation, void","breach, break, discontinuity, gap, gulf, hole, interstice, interval, opening, rent, rift, separation, void",Oops! So Empty!,second
Hindsight,perception of the nature of an event after it has happened,the knowledge and understanding that you have about an event only after it has happened,understanding of something only after it has happened,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,first
Hitherto,up to this or that time,up to this time,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"heretofore, theretofore, yet","henceforth, henceforward, hereafter, thenceforth, thenceforward 
 (also thenceforwards), thereafter",Oops! So Empty!,first
Horology,the science of measuring time,the art of making instruments for indicating time,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,first
Hothouse,a greenhouse maintained at a high temperature especially for the culture of tropical plants,suggestive of growth and development in a hothouse,grown in a hothouse,hotbed sense 2,brothel,"conservatory, glasshouse 
[chiefly British], greenhouse","conservatory, glasshouse 
[chiefly British], greenhouse",Oops! So Empty!,second
Howling,producing or marked by a sound resembling a howl,"desolate, wild",very great,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,first
Humble,not proud or haughty,"reflecting, expressing, or offered in a spirit of deference or submission",ranking low in a hierarchy or scale,to make (someone) humble (see humble entry 1) in spirit or manner,"to destroy the power, independence, or prestige of","demure, down-to-earth, lowly, meek, modest, unassuming, unpretentious","aggrandize, canonize, deify, elevate, exalt",Oops! So Empty!,first
Hurl,to send or thrust with great vigor,to throw down with violence,pitch sense 5a,"rush, hurtle",vomit,"barf, gag, heave, puke, retch, spew, spit up, throw up, upchuck, vomit","barf, gag, heave, puke, retch, spew, spit up, throw up, upchuck, vomit","throw, cast, toss, fling, hurl, pitch, sling mean to cause to move swiftly through space by a propulsive movement or a propelling force

throw is general and interchangeable with the other terms but may specifically imply a distinctive motion with bent arm
can throw a fastball and a curve

cast usually implies lightness in the thing thrown and sometimes a scattering
cast it to the winds

toss suggests a light or careless or aimless throwing and may imply an upward motion
tossed the coat on the bed

fling stresses a violent throwing
flung the ring back in his face

hurl implies power as in throwing a massive weight
hurled himself at the intruder

pitch suggests throwing carefully at a target
pitch horseshoes

sling stresses either the use of whirling momentum in throwing or directness of aim
slung the bag over his shoulder",third
Hymn,a song of praise to God,a song of praise or joy,something resembling a song of praise,Oops! So Empty!,Oops! So Empty!,"anthem, canticle, carol, chorale, psalm, spiritual","bless, carol, celebrate, emblazon, exalt, extol 
 (also extoll), glorify, laud, magnify, praise, resound",Oops! So Empty!,third
Hymns,a song of praise to God,a song of praise or joy,something resembling a song of praise,Oops! So Empty!,Oops! So Empty!,"anthem, canticle, carol, chorale, psalm, spiritual","bless, carol, celebrate, emblazon, exalt, extol 
 (also extoll), glorify, laud, magnify, praise, resound",Oops! So Empty!,third
Ignominy,deep personal humiliation and disgrace,"disgraceful or dishonorable conduct, quality, or action",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"discredit, disesteem, disgrace, dishonor, disrepute, infamy, obloquy, odium, opprobrium, reproach, shame","esteem, honor, respect","disgrace, dishonor, disrepute, infamy, ignominy mean the state or condition of suffering loss of esteem and of enduring reproach

disgrace often implies humiliation and sometimes ostracism
sent home in disgrace

dishonor emphasizes the loss of honor that one has enjoyed or the loss of self-esteem
preferred death to life with dishonor

disrepute stresses loss of one's good name or the acquiring of a bad reputation
a once proud name fallen into disrepute

infamy usually implies notoriety as well as exceeding shame
a day that lives in infamy

ignominy stresses humiliation
the ignominy of being arrested",second
Ilk,sort or kind,"sort, kind",same,each,Oops! So Empty!,"breed, class, description, feather, genre, kidney, kind, like, manner, nature, order, sort, species, strain, stripe, type, variety","breed, class, description, feather, genre, kidney, kind, like, manner, nature, order, sort, species, strain, stripe, type, variety",Oops! So Empty!,first
Imbecile,a foolish or stupid person,a person affected with moderate intellectual disability,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"airhead, birdbrain, blockhead, bonehead, bubblehead, chowderhead, chucklehead, clodpoll 
 (or clodpole), clot 
[British], cluck, clunk, cretin, cuddy 
 (or cuddie) 
[British dialect], deadhead, dim bulb 
[slang], dimwit, dip, dodo, dolt, donkey, doofus 
[slang], dope, dork 
[slang], dullard, dum-dum, dumbbell, dumbhead, dummkopf, dummy, dunce, dunderhead, fathead, gander, golem, goof, goon, half-wit, hammerhead, hardhead, idiot, ignoramus, jackass, know-nothing, knucklehead, lamebrain, loggerhead 
[chiefly dialect], loon, lump, lunkhead, meathead, mome 
[archaic], moron, mug 
[chiefly British], mutt, natural, nimrod 
[slang], nincompoop, ninny, ninnyhammer, nit 
[chiefly British], nitwit, noddy, noodle, numskull 
 (or numbskull), oaf, pinhead, prat 
[British], ratbag 
[chiefly Australian], saphead, schlub 
 (also shlub) 
[slang], schnook 
[slang], simpleton, stock, stupe, stupid, thickhead, turkey, woodenhead, yahoo, yo-yo","brain, genius",Oops! So Empty!,first
Imbeciles,a foolish or stupid person,a person affected with moderate intellectual disability,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"airhead, birdbrain, blockhead, bonehead, bubblehead, chowderhead, chucklehead, clodpoll 
 (or clodpole), clot 
[British], cluck, clunk, cretin, cuddy 
 (or cuddie) 
[British dialect], deadhead, dim bulb 
[slang], dimwit, dip, dodo, dolt, donkey, doofus 
[slang], dope, dork 
[slang], dullard, dum-dum, dumbbell, dumbhead, dummkopf, dummy, dunce, dunderhead, fathead, gander, golem, goof, goon, half-wit, hammerhead, hardhead, idiot, ignoramus, jackass, know-nothing, knucklehead, lamebrain, loggerhead 
[chiefly dialect], loon, lump, lunkhead, meathead, mome 
[archaic], moron, mug 
[chiefly British], mutt, natural, nimrod 
[slang], nincompoop, ninny, ninnyhammer, nit 
[chiefly British], nitwit, noddy, noodle, numskull 
 (or numbskull), oaf, pinhead, prat 
[British], ratbag 
[chiefly Australian], saphead, schlub 
 (also shlub) 
[slang], schnook 
[slang], simpleton, stock, stupe, stupid, thickhead, turkey, woodenhead, yahoo, yo-yo","brain, genius",Oops! So Empty!,first
Immaculate,having or containing no flaw or error,having no colored spots or marks,having no stain or blemish,spotlessly clean,perfectly clean,"chaste, clean, decent, G-rated, modest, pure, vestal, virgin, virginal","coarse, dirty, filthy, immodest, impure, indecent, obscene, smutty, unchaste, unclean, vulgar",Oops! So Empty!,third
Imp,"to graft or repair (a wing, tail, or feather) with a feather to improve a falcon's flying capacity",to equip with wings,a small demon,"shoot, bud",Oops! So Empty!,"devil, hellion, mischief, monkey, rapscallion, rascal, rogue, scamp, urchin","devil, hellion, mischief, monkey, rapscallion, rascal, rogue, scamp, urchin",Oops! So Empty!,third
Impasse,a predicament affording no obvious escape,an impassable road or way,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"deadlock, gridlock, halt, logjam, Mexican standoff, stalemate, standoff, standstill","deadlock, gridlock, halt, logjam, Mexican standoff, stalemate, standoff, standstill",Oops! So Empty!,first
Impeccable,free from fault or blame,not capable of sinning or liable to sin,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"absolute, faultless, flawless, ideal, immaculate, indefectible, irreproachable, letter-perfect, perfect, picture-book, picture-perfect, seamless, unblemished","amiss, bad, censurable, defective, faulty, flawed, imperfect, reproachable",Oops! So Empty!,first
Implacable,opposed to someone or something in a very angry or determined way that cannot be changed,"impossible to please, satisfy, or change",not placable,Oops! So Empty!,Oops! So Empty!,"adamant, adamantine, bullheaded, dogged, hard, hard-nosed, hardened, hardheaded, headstrong, immovable, inconvincible, inflexible, intransigent, mulish, obdurate, obstinate, opinionated, ossified, pat, pertinacious, perverse, pigheaded, self-opinionated, self-willed, stiff-necked, stubborn, unbending, uncompromising, unrelenting, unyielding, willful 
 (or wilful)","acquiescent, agreeable, amenable, compliant, complying, flexible, pliable, pliant, relenting, yielding",Oops! So Empty!,third
Imps,"to graft or repair (a wing, tail, or feather) with a feather to improve a falcon's flying capacity",to equip with wings,a small demon,"shoot, bud",Oops! So Empty!,"devil, hellion, mischief, monkey, rapscallion, rascal, rogue, scamp, urchin","devil, hellion, mischief, monkey, rapscallion, rascal, rogue, scamp, urchin",Oops! So Empty!,third
Impudence,the quality or state of being impudent,behavior or speech that is bold and disrespectful,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"back talk, backchat, cheek, impertinence, insolence, mouth, sass, sauce","back talk, backchat, cheek, impertinence, insolence, mouth, sass, sauce",Oops! So Empty!,third
Impulse,a wave of excitation transmitted through tissues and especially nerve fibers and muscles that results in physiological activity or inhibition  — see nerve impulse,a sudden spontaneous inclination or incitement to some usually unpremeditated action,a force that starts a body into motion,pulse sense 4a,"inspiration, motivation","boost, encouragement, goad, impetus, incentive, incitation, incitement, instigation, momentum, motivation, provocation, spur, stimulant, stimulus, yeast","counterincentive, disincentive","motive, impulse, incentive, inducement, spur, goad mean a stimulus to action

motive implies an emotion or desire operating on the will and causing it to act
a motive for the crime

impulse suggests a driving power arising from personal temperament or constitution
buying on impulse

incentive applies to an external influence (such as an expected reward) inciting to action
a bonus was offered as an incentive

inducement suggests a motive prompted by the deliberate enticements or allurements of another
offered a watch as an inducement to subscribe

spur applies to a motive that stimulates the faculties or increases energy or ardor
fear was a spur to action

goad suggests a motive that keeps one going against one's will or desire
thought insecurity a goad to worker efficiency",third
Incense,the perfume exhaled from some spices and gums when burned,material used to produce a fragrant odor when burned,to apply or offer incense to,to perfume with incense,pleasing attention,"aroma, attar 
 (also otto), balm, bouquet, fragrance, fragrancy, perfume, redolence, scent, spice","delight, gratify, please",Oops! So Empty!,third
Inchoate,"not yet made complete, certain, or specific","of or relating to a crime (as attempt, solicitation, or conspiracy) which consists of acts that are preliminary to another crime and that are in themselves criminal  — compare choate",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"aborning, budding, inceptive, incipient, nascent","adult, full-blown, full-fledged, mature, ripe, ripened",Oops! So Empty!,second
Incite,to move to action,"to cause (someone) to act in an angry, harmful, or violent way","to cause (an angry, harmful, or violent action or feeling)",to stir up usually harmful or violent action or feeling,to bring into being,"abet, brew, ferment, foment, instigate, pick, provoke, raise, stir (up), whip (up)","abet, brew, ferment, foment, instigate, pick, provoke, raise, stir (up), whip (up)","incite, instigate, abet, foment mean to spur to action

incite stresses a stirring up and urging on, and may or may not imply initiating
inciting a riot

instigate definitely implies responsibility for initiating another's action and often connotes underhandedness or evil intention
instigated a conspiracy

abet implies both assisting and encouraging
aiding and abetting the enemy

foment implies persistence in goading
fomenting rebellion",third
Incredulous,unwilling to admit or accept what is offered as true,incredible sense 1,expressing incredulity,Oops! So Empty!,Oops! So Empty!,"disbelieving, distrustful, doubting, mistrustful, negativistic, questioning, show-me, skeptical, suspecting, suspicious, unbelieving","credulous, gullible 
 (also gullable), trustful, trusting, uncritical, unquestioning",Oops! So Empty!,third
Indemnity,"security against hurt, loss, or damage",indemnification sense 1,fee-for-service,Oops! So Empty!,Oops! So Empty!,"compensation, damages, indemnification, quittance, recompense, recoupment, redress, remuneration, reparation, reprisal(s), requital, restitution, satisfaction","compensation, damages, indemnification, quittance, recompense, recoupment, redress, remuneration, reparation, reprisal(s), requital, restitution, satisfaction",Oops! So Empty!,second
Indignation,"anger aroused by something unjust, unworthy, or mean",anger caused by something that is unfair or wrong,anger caused by something unjust or unworthy,Oops! So Empty!,Oops! So Empty!,"anger, angriness, birse 
[chiefly Scottish], choler, furor, fury, irateness, ire, lividity, lividness, mad, madness, mood 
[archaic], outrage, rage, spleen, wrath, wrathfulness","delight, pleasure","anger, ire, rage, fury, indignation, wrath mean an intense emotional state induced by displeasure

anger, the most general term, names the reaction but by itself does not convey cause or intensity
tried to hide his anger

ire, more frequent in literary contexts, suggests an intense anger, often with an evident display of feeling
cheeks flushed with ire

rage and fury suggest loss of self-control from violence of emotion
shook with rage

could not contain his fury
indignation stresses righteous anger at what one considers unfair, mean, or shameful

a comment that caused general indignation
wrath is likely to suggest a desire or intent to punish or get revenge

I feared her wrath if I was discovered",third
Indulged,to yield to the desire of,to give free rein to,to give in to the desires of,to give in to a desire for something,Oops! So Empty!,"cater (to), gratify, humor","cater (to), gratify, humor","indulge, pamper, humor, spoil, baby, mollycoddle mean to show undue favor to a person's desires and feelings

indulge implies excessive compliance and weakness in gratifying another's or one's own desires
indulged myself with food at the slightest excuse

pamper implies inordinate gratification of desire for luxury and comfort with consequent enervating effect
pampered by the amenities of modern living

humor stresses a yielding to a person's moods or whims
humored him by letting him tell the story

spoil stresses the injurious effects on character by indulging or pampering
foolish parents spoil their children

baby suggests excessive care, attention, or solicitude
babying students by grading too easily

mollycoddle suggests an excessive degree of care and attention to another's health or welfare
refused to mollycoddle her malingering son",third
Infant,a child in the first period of life,a person who is not of full age,intended for young children,being in an early stage of development,"of, relating to, or being in infancy","babe, baby, bambino, child, neonate, newborn","babe, baby, bambino, child, neonate, newborn",Oops! So Empty!,first
Infatuation,"a feeling of foolish or obsessively strong love for, admiration for, or interest in someone or something",the object of an unreasoning or foolish attachment,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"crush, mash, passion","crush, mash, passion",Oops! So Empty!,third
Infer,to arrive at as a conclusion based on known facts,to derive as a conclusion from facts or premises,to involve as a normal outcome of thought,"guess, surmise","suggest, hint","conclude, decide, deduce, derive, extrapolate, gather, judge, make out, reason, understand","conclude, decide, deduce, derive, extrapolate, gather, judge, make out, reason, understand","infer, deduce, conclude, judge, gather mean to arrive at a mental conclusion

infer implies arriving at a conclusion by reasoning from evidence; if the evidence is slight, the term comes close to surmise
from that remark, I inferred that they knew each other

deduce often adds to infer the special implication of drawing a particular inference from a generalization
denied we could deduce anything important from human mortality

conclude implies arriving at a necessary inference at the end of a chain of reasoning
concluded that only the accused could be guilty

judge stresses a weighing of the evidence on which a conclusion is based
judge people by their actions

gather suggests an intuitive forming of a conclusion from implications
gathered their desire to be alone without a word",third
Infernal,of or relating to a nether world of the dead,of or relating to hell,very bad or unpleasant,damnable,Oops! So Empty!,"accursed 
 (or accurst), blasted, confounded, cotton-picking, cursed 
 (also curst), cussed, damnable, dang, danged, darn 
 (also durn), darned 
 (also durned), deuced, doggone 
 (or doggoned), freaking","accursed 
 (or accurst), blasted, confounded, cotton-picking, cursed 
 (also curst), cussed, damnable, dang, danged, darn 
 (also durn), darned 
 (also durned), deuced, doggone 
 (or doggoned), freaking",Oops! So Empty!,second
Inflictions,the act of inflicting,something (such as punishment or suffering) that is inflicted,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,third
Influx,a coming in,the arrival of a large number of people,the arrival or inward flow of a large amount of something (such as money),Oops! So Empty!,Oops! So Empty!,"affluence, flux, income, inflow, inpouring, inrush","outflow, outpouring",Oops! So Empty!,third
Insinuating,winning favor and confidence by imperceptible degrees,"tending gradually to cause doubt, distrust, or change of outlook often in a slyly subtle manner",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"disarming, endearing, ingratiating, winning, winsome","unendearing, uningratiating",Oops! So Empty!,third
Insolence,the quality or state of being insolent,an instance of insolent conduct or treatment,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"back talk, backchat, cheek, impertinence, impudence, mouth, sass, sauce","back talk, backchat, cheek, impertinence, impudence, mouth, sass, sauce",Oops! So Empty!,first
Insolent,insultingly contemptuous in speech or conduct,exhibiting boldness or effrontery,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"arch, audacious, bold, bold-faced, brash, brassbound, brassy, brazen, brazen-faced, cheeky, cocksure, cocky, fresh, impertinent, impudent, nervy, sassy, saucy, wise","meek, mousy 
 (or mousey), retiring, shy, timid","proud, arrogant, haughty, lordly, insolent, overbearing, supercilious, disdainful mean showing scorn for inferiors

proud may suggest an assumed superiority or loftiness
too proud to take charity

arrogant implies a claiming for oneself of more consideration or importance than is warranted
a conceited and arrogant executive

haughty suggests a consciousness of superior birth or position
a haughty aristocrat

lordly implies pomposity or an arrogant display of power
a lordly condescension

insolent implies contemptuous haughtiness
ignored by an insolent waiter

overbearing suggests a tyrannical manner or an intolerable insolence
an overbearing supervisor

supercilious implies a cool, patronizing haughtiness
an aloof and supercilious manner

disdainful suggests a more active and openly scornful superciliousness
disdainful of their social inferiors",third
Insomnia,prolonged and usually abnormal inability to get enough sleep especially due to trouble falling asleep or staying asleep,the condition of not being able to sleep,difficulty in sleeping,prolonged and usually abnormal inability to obtain adequate sleep especially due to difficulty falling asleep or staying asleep,Oops! So Empty!,"sleeplessness, wakefulness","sleeplessness, wakefulness",Oops! So Empty!,first
Instigated,to goad or urge forward,to cause (something) to happen or begin,to cause to happen or begin,Oops! So Empty!,Oops! So Empty!,"abet, brew, ferment, foment, incite, pick, provoke, raise, stir (up), whip (up)","abet, brew, ferment, foment, incite, pick, provoke, raise, stir (up), whip (up)","incite, instigate, abet, foment mean to spur to action

incite stresses a stirring up and urging on, and may or may not imply initiating
inciting a riot

instigate definitely implies responsibility for initiating another's action and often connotes underhandedness or evil intention
instigated a conspiracy

abet implies both assisting and encouraging
aiding and abetting the enemy

foment implies persistence in goading
fomenting rebellion",third
Instinctual,a largely inheritable and unalterable tendency of an organism to make a complex and specific response to environmental stimuli without involving reason,an act or course of action in response to a stimulus that is automatic rather than learned,impelled by an inner or animating or exciting agency,"a natural or inherent aptitude, impulse, or capacity",profoundly imbued,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,first
Insurrection,an act or instance of revolting against civil authority or an established government,a usually violent attempt to take control of a government,an act or instance of rebelling against a government,the act or an instance of revolting especially violently against civil or political authority or against an established government,Oops! So Empty!,"insurgence, insurgency, mutiny, outbreak, rebellion, revolt, revolution, rising, uprising","insurgence, insurgency, mutiny, outbreak, rebellion, revolt, revolution, rising, uprising","rebellion, revolution, uprising, revolt, insurrection, mutiny mean an outbreak against authority

rebellion implies an open formidable resistance that is often unsuccessful
open rebellion against the officers

revolution applies to a successful rebellion resulting in a major change (as in government)
a political revolution that toppled the monarchy

uprising implies a brief, limited, and often immediately ineffective rebellion
quickly put down the uprising

revolt and insurrection imply an armed uprising that quickly fails or succeeds
a revolt by the Young Turks that surprised party leaders

an insurrection of oppressed laborers
mutiny applies to group insubordination or insurrection especially against naval authority

a mutiny led by the ship's cook",second
Intimated,marked by a warm friendship developing through long association,"marked by very close association, contact, or familiarity",of a very personal or private nature,to communicate delicately and indirectly,"intrinsic, essential","bosom, buddy-buddy, chummy, close, especial, familiar, friendly, inseparable, inward, near, thick, tight","enemy, foe","suggest, imply, hint, intimate, insinuate mean to convey an idea indirectly

suggest may stress putting into the mind by association of ideas, awakening of a desire, or initiating a train of thought
a film title that suggests its subject matter

imply is close to suggest but may indicate a more definite or logical relation of the unexpressed idea to the expressed
measures implying that bankruptcy was imminent

hint implies the use of slight or remote suggestion with a minimum of overt statement
hinted that she might get the job

intimate stresses delicacy of suggestion without connoting any lack of candor
intimates that there is more to the situation than meets the eye

insinuate applies to the conveying of a usually unpleasant idea in a sly underhanded manner
insinuated that there were shady dealings",third
Involuntarily,not subject to control of the will,done contrary to or without choice,not done by choice,not done consciously,compulsory,"coerced, forced, unintended, unintentional, unwilling, will-less","deliberate, freewill, intentional, uncoerced, unforced, voluntary, willful 
 (or wilful), willing",Oops! So Empty!,first
Inward,situated on the inside,of or relating to the mind or spirit,marked by close acquaintance,directed toward the interior,"toward the inside, center, or interior","inner, inside, interior, internal","exterior, external, outer, outside, outward",Oops! So Empty!,first
Ire,intense and usually openly displayed anger,"anger entry 2, wrath",intense anger,Oops! So Empty!,Oops! So Empty!,"anger, angriness, birse 
[chiefly Scottish], choler, furor, fury, indignation, irateness, lividity, lividness, mad, madness, mood 
[archaic], outrage, rage, spleen, wrath, wrathfulness","delight, pleasure","anger, ire, rage, fury, indignation, wrath mean an intense emotional state induced by displeasure

anger, the most general term, names the reaction but by itself does not convey cause or intensity
tried to hide his anger

ire, more frequent in literary contexts, suggests an intense anger, often with an evident display of feeling
cheeks flushed with ire

rage and fury suggest loss of self-control from violence of emotion
shook with rage

could not contain his fury
indignation stresses righteous anger at what one considers unfair, mean, or shameful

a comment that caused general indignation
wrath is likely to suggest a desire or intent to punish or get revenge

I feared her wrath if I was discovered",second
Isles,to make an isle of,to place on or as if on an isle,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"island, islet","island, islet",Oops! So Empty!,first
Janitor,"one who keeps the premises of a building (such as an apartment or office) clean, tends the heating system, and makes minor repairs",doorkeeper,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"caretaker, custodian, guardian, keeper, warden, watchman","caretaker, custodian, guardian, keeper, warden, watchman",Oops! So Empty!,first
Japes,to say or do something jokingly or mockingly,to make mocking fun of,something designed to arouse amusement or laughter,Oops! So Empty!,Oops! So Empty!,"banter, chaff, fool, fun, gag, jest, jive, joke, jolly, josh, kid, quip, wisecrack, yuk 
 (or yuck) 
[slang]","boff 
 (or boffo), boffola, crack, drollery, funny, gag, giggle 
[chiefly British], jest, joke, josh, laugh, nifty, one-liner, pleasantry, quip, rib, sally, waggery, wisecrack, witticism, yuk 
 (or yuck also yak or yock) 
[slang]",Oops! So Empty!,first
Juxtaposition,the act or an instance of placing two or more things side by side often to compare or contrast or to create an interesting effect,the act or an instance of placing two or more things side by side,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,first
Kernel,"the inner softer part of a seed, fruit stone, or nut",a whole seed of a cereal,a central or essential part,a fruit seed,Oops! So Empty!,"bottom line, bull's-eye, centerpiece, core, crux, essence, gist, heart, keynote, meat, meat and potatoes, net, nub, nubbin, nucleus, pith, pivot, point, root, sum","bottom line, bull's-eye, centerpiece, core, crux, essence, gist, heart, keynote, meat, meat and potatoes, net, nub, nubbin, nucleus, pith, pivot, point, root, sum",Oops! So Empty!,first
Lace,to draw together the edges of by or as if by a lace passed through eyelets,"to draw or pass (something, such as a lace) through something (such as eyelets)",to confine or compress by tightening laces of a garment,to adorn with or as if with lace,"beat, lash","enlace, entwine, implicate 
[archaic], interlace, intertwine, intertwist, interweave, inweave, ply, twist, weave, wreathe, writhe","cable, cord, lacing, line, rope, string, wire",Oops! So Empty!,first
Lacerated,to cause sharp mental or emotional pain to,having the edges deeply and irregularly cut,to tear or rend roughly,torn jaggedly,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,second
