,Word,First,Second,Third,Fourth,Fifth,Synonyms,Antonyms,Choose the Right Synonym,Priorty,Choose the Right Synonym Final
146,Janitor,"one who keeps the premises of a building (such as an apartment or office) clean, tends the heating system, and makes minor repairs",doorkeeper,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"caretaker, custodian, guardian, keeper, warden, watchman","caretaker, custodian, guardian, keeper, warden, watchman",Oops! So Empty!,first,Oops! So Empty!
147,Japes,to say or do something jokingly or mockingly,to make mocking fun of,something designed to arouse amusement or laughter,Oops! So Empty!,Oops! So Empty!,"banter, chaff, fool, fun, gag, jest, jive, joke, jolly, josh, kid, quip, wisecrack, yuk 
 (or yuck) 
[slang]","boff 
 (or boffo), boffola, crack, drollery, funny, gag, giggle 
[chiefly British], jest, joke, josh, laugh, nifty, one-liner, pleasantry, quip, rib, sally, waggery, wisecrack, witticism, yuk 
 (or yuck also yak or yock) 
[slang]",Oops! So Empty!,first,Oops! So Empty!
148,Juxtaposition,the act or an instance of placing two or more things side by side often to compare or contrast or to create an interesting effect,the act or an instance of placing two or more things side by side,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,first,Oops! So Empty!
149,Kernel,"the inner softer part of a seed, fruit stone, or nut",a whole seed of a cereal,a central or essential part,a fruit seed,Oops! So Empty!,"bottom line, bull's-eye, centerpiece, core, crux, essence, gist, heart, keynote, meat, meat and potatoes, net, nub, nubbin, nucleus, pith, pivot, point, root, sum","bottom line, bull's-eye, centerpiece, core, crux, essence, gist, heart, keynote, meat, meat and potatoes, net, nub, nubbin, nucleus, pith, pivot, point, root, sum",Oops! So Empty!,first,Oops! So Empty!
150,Lascivious,filled with or showing sexual desire,reflecting or producing sexual desire or behavior especially that is considered indecent or obscene,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"bawdy, blue, coarse, crude, dirty, filthy, foul, gross, gutter, impure, indecent, lewd, locker-room, nasty, obscene, pornographic, porny, profane, raunchy, ribald, smutty, stag, trashy, unprintable, vulgar, wanton, X-rated","clean, decent, G-rated, nonobscene, wholesome",Oops! So Empty!,third,Oops! So Empty!
151,Leal,"loyal, true",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,second,Oops! So Empty!
152,Leering,to cast a sidelong glance,"a lascivious, knowing, or wanton look",to look at someone in an evil or unpleasantly sexual way,"to look with an unpleasant, mean, or eager glance","an unpleasant, mean, or eager glance",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,third,Oops! So Empty!
153,Lewd,"obscene, vulgar","evil, wicked",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"bawdy, blue, coarse, crude, dirty, filthy, foul, gross, gutter, impure, indecent, lascivious, locker-room, nasty, obscene, pornographic, porny, profane, raunchy, ribald, smutty, stag, trashy, unprintable, vulgar, wanton, X-rated","clean, decent, G-rated, nonobscene, wholesome",Oops! So Empty!,third,Oops! So Empty!
154,Lewdness,"obscene, vulgar","evil, wicked",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"bawdy, blue, coarse, crude, dirty, filthy, foul, gross, gutter, impure, indecent, lascivious, locker-room, nasty, obscene, pornographic, porny, profane, raunchy, ribald, smutty, stag, trashy, unprintable, vulgar, wanton, X-rated","clean, decent, G-rated, nonobscene, wholesome",Oops! So Empty!,third,Oops! So Empty!
155,Liability,the quality or state of being liable,something for which one is liable,one that acts as a disadvantage,the quality or state of being liable,something for which one is liable,"debit, disadvantage, disbenefit, downside, drawback, handicap, incommodity, minus, negative, strike","advantage, asset, edge, plus",Oops! So Empty!,first,Oops! So Empty!
156,Lithe,easily bent or flexed,characterized by easy flexibility and grace,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"bendy 
[chiefly British], flexible, limber, lissome 
 (also lissom), lithesome, pliable, pliant, supple, willowy","inflexible, rigid, stiff, stiffened",Oops! So Empty!,first,Oops! So Empty!
157,Livid,discolored by bruising,"ashen, pallid",very angry,reddish,Oops! So Empty!,"angered, angry, apoplectic, ballistic, cheesed off 
[chiefly British], choleric, enraged, foaming, fuming, furious, hopping, horn-mad, hot, incensed, indignant, inflamed 
 (also enflamed), infuriate, infuriated, irate, ireful, mad, outraged, rabid, rankled, riled, riley, roiled, shirty 
[chiefly British], sore, steamed up, steaming, teed off, ticked, wrathful, wroth","angerless, delighted, pleased",Oops! So Empty!,first,Oops! So Empty!
158,Ludicrous,"amusing or laughable through obvious absurdity, incongruity, exaggeration, or eccentricity","meriting derisive laughter or scorn as absurdly inept, false, or foolish",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"antic, chucklesome, comedic, comic, comical, droll, farcical, funny, hilarious, humoristic, humorous, hysterical 
 (also hysteric), killing, laughable, ridiculous, riotous, risible, screaming, sidesplitting, uproarious","humorless, lame, unamusing, uncomic, unfunny, unhumorous, unhysterical","laughable, ludicrous, ridiculous, comic, comical mean provoking laughter or mirth

laughable applies to anything occasioning laughter
laughable attempts at skating

ludicrous suggests absurdity that excites both laughter and scorn
a thriller with a ludicrous plot

ridiculous suggests extreme absurdity, foolishness, or contemptibility
a ridiculous display of anger

comic applies especially to what arouses thoughtful amusement
a comic character

comical applies to what arouses spontaneous hilarity
a comical hat",first,"laughable, ludicrous, ridiculous, comic, comical mean provoking laughter or mirth<br><br>laughable applies to anything occasioning laughter<br>laughable attempts at skating<br><br>ludicrous suggests absurdity that excites both laughter and scorn<br>a thriller with a ludicrous plot<br><br>ridiculous suggests extreme absurdity, foolishness, or contemptibility<br>a ridiculous display of anger<br><br>comic applies especially to what arouses thoughtful amusement<br>a comic character<br><br>comical applies to what arouses spontaneous hilarity<br>a comical hat"
159,Magnate,"a person of rank, power, influence, or distinction often in a specified area",a person who has great wealth and power in a particular business or industry,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"baron, captain, czar 
 (also tsar or tzar), king, lion, lord, mogul, monarch, Napoleon, prince, tycoon","baron, captain, czar 
 (also tsar or tzar), king, lion, lord, mogul, monarch, Napoleon, prince, tycoon",Oops! So Empty!,first,Oops! So Empty!
160,Mallet,a hammer with a barrel-shaped head of wood or soft material,a club with a short thick head and a long thin handle,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,third,Oops! So Empty!
161,Matrimony,the state of being married,marriage sense 1,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"conjugality, connubiality, marriage, match, wedlock","conjugality, connubiality, marriage, match, wedlock",Oops! So Empty!,first,Oops! So Empty!
162,Meagre,having little flesh,lacking desirable qualities (such as richness or strength),not enough in quality or amount,having little flesh,Oops! So Empty!,"exiguous, hand-to-mouth, light, niggardly, poor, scant, scanty, scarce, skimp, skimpy, slender, slim, spare, sparing, sparse, stingy","abundant, ample, bountiful, copious, generous, liberal, plenteous, plentiful","meager, scanty, scant, skimpy, spare, sparse mean falling short of what is normal, necessary, or desirable

meager implies the absence of elements, qualities, or numbers necessary to a thing's richness, substance, or potency
a meager portion of meat

scanty stresses insufficiency in amount, quantity, or extent
supplies too scanty to last the winter

scant suggests a falling short of what is desired or desirable rather than of what is essential
in January the daylight hours are scant

skimpy usually suggests niggardliness or penury as the cause of the deficiency
tacky housing developments on skimpy lots

spare may suggest a slight falling short of adequacy or merely an absence of superfluity
a spare, concise style of writing

sparse implies a thin scattering of units
a sparse population",first,"meager, scanty, scant, skimpy, spare, sparse mean falling short of what is normal, necessary, or desirable<br><br>meager implies the absence of elements, qualities, or numbers necessary to a thing's richness, substance, or potency<br>a meager portion of meat<br><br>scanty stresses insufficiency in amount, quantity, or extent<br>supplies too scanty to last the winter<br><br>scant suggests a falling short of what is desired or desirable rather than of what is essential<br>in January the daylight hours are scant<br><br>skimpy usually suggests niggardliness or penury as the cause of the deficiency<br>tacky housing developments on skimpy lots<br><br>spare may suggest a slight falling short of adequacy or merely an absence of superfluity<br>a spare, concise style of writing<br><br>sparse implies a thin scattering of units<br>a sparse population"
163,Meek,enduring injury with patience and without resentment,deficient in spirit and courage,not violent or strong,Oops! So Empty!,Oops! So Empty!,"demure, down-to-earth, humble, lowly, modest, unassuming, unpretentious","arrogant, bumptious, chesty, conceited, egotistic 
 (or egotistical), fastuous, haughty, highfalutin 
 (also hifalutin), high-and-mighty, high-handed, high-hat, hoity-toity, huffish, huffy, imperious, lordly, overweening, peremptory, pompous, presuming, presumptuous, pretentious, self-asserting, self-assertive, supercilious, superior, toplofty 
 (also toploftical), uppish, uppity",Oops! So Empty!,first,Oops! So Empty!
164,Menagerie,a place where animals are kept and trained especially for exhibition,a varied mixture,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"agglomerate, agglomeration, alphabet soup, assortment, botch, clutter, collage, crazy quilt, farrago, gallimaufry, grab bag, gumbo, hash, hodgepodge, hotchpotch, jambalaya, jumble, jungle, litter, macédoine, medley, mélange, miscellanea, miscellany, mishmash, mixed bag, montage, motley, muddle, olio, olla podrida, omnium-gatherum, pastiche, patchwork, patchwork quilt, potpourri, ragbag, ragout, rummage, salad, salmagundi, scramble, shuffle, smorgasbord, stew, tumble, variety, welter","agglomerate, agglomeration, alphabet soup, assortment, botch, clutter, collage, crazy quilt, farrago, gallimaufry, grab bag, gumbo, hash, hodgepodge, hotchpotch, jambalaya, jumble, jungle, litter, macédoine, medley, mélange, miscellanea, miscellany, mishmash, mixed bag, montage, motley, muddle, olio, olla podrida, omnium-gatherum, pastiche, patchwork, patchwork quilt, potpourri, ragbag, ragout, rummage, salad, salmagundi, scramble, shuffle, smorgasbord, stew, tumble, variety, welter",Oops! So Empty!,first,Oops! So Empty!
165,Mishap,an unfortunate accident,bad luck,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"accident, casualty, mischance","accident, casualty, mischance","misfortune, mischance, adversity, mishap mean adverse fortune or an instance of this

misfortune may apply to either the incident or conjunction of events that is the cause of an unhappy change of fortune or to the ensuing state of distress
never lost hope even in the depths of misfortune

mischance applies especially to a situation involving no more than slight inconvenience or minor annoyance
took the wrong road by mischance

adversity applies to a state of grave or persistent misfortune
had never experienced great adversity

mishap applies to an often trivial instance of bad luck
the usual mishaps of a family vacation",first,"misfortune, mischance, adversity, mishap mean adverse fortune or an instance of this<br><br>misfortune may apply to either the incident or conjunction of events that is the cause of an unhappy change of fortune or to the ensuing state of distress<br>never lost hope even in the depths of misfortune<br><br>mischance applies especially to a situation involving no more than slight inconvenience or minor annoyance<br>took the wrong road by mischance<br><br>adversity applies to a state of grave or persistent misfortune<br>had never experienced great adversity<br><br>mishap applies to an often trivial instance of bad luck<br>the usual mishaps of a family vacation"
166,Monopolized,to get a monopoly of,to take over and control (something or someone) completely,to get or have complete control over,to get a monopoly of,Oops! So Empty!,sew up,sew up,Oops! So Empty!,third,Oops! So Empty!
167,Morbid,abnormally susceptible to or characterized by gloomy or unwholesome feelings,having or showing an interest in unpleasant or gloomy things,"of, relating to, or characteristic of disease",not healthy or normal,"grisly, gruesome","black, bleak, cheerless, chill, Cimmerian, cloudy, cold, comfortless, dark, darkening, depressing, depressive, desolate, dire, disconsolate, dismal, drear, dreary, dreich 
[chiefly Scottish], elegiac 
 (also elegiacal), forlorn, funereal, gloomy, glum, godforsaken, gray 
 (also grey), lonely, lonesome, lugubrious, miserable, morose, murky, plutonian, saturnine, sepulchral, solemn, somber 
 (or sombre), sullen, sunless, tenebrific, tenebrous, wretched","bright, cheerful, cheering, cheery, comforting, cordial, festive, friendly, gay, heartwarming, sunshiny",Oops! So Empty!,third,Oops! So Empty!
168,Morsel,a small piece of food,a small quantity,a tasty dish,a negligible person,Oops! So Empty!,"bite, mouthful, nibble, nugget, taste, tidbit 
 (also titbit)","bite, mouthful, nibble, nugget, taste, tidbit 
 (also titbit)",Oops! So Empty!,first,Oops! So Empty!
169,Mussed,a confused conflict,a state of disorder,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"chance-medley, chaos, confusion, disarrangement, disarray, dishevelment, disorder, disorderedness, disorderliness, disorganization, free-for-all, havoc, heck, hell, jumble, mare's nest, mess, messiness, misorder, muddle, shambles, snake pit, tumble, welter","arrange, array, dispose, draw up, marshal 
 (also marshall), order, organize, range, regulate, straighten (up), tidy",Oops! So Empty!,first,Oops! So Empty!
170,Nibble,to bite gently,to take away bit by bit,"to take gentle, small, or cautious bites",to deal with something as if by nibbling,an act of nibbling,"peck, pick","bite, morsel, mouthful, nugget, taste, tidbit 
 (also titbit)",Oops! So Empty!,first,Oops! So Empty!
171,Nocturnal,"of, relating to, or occurring in the night",active at night,happening at night,active at night,"of, relating to, or occurring at night","night, nightly, nighttime","daily, diurnal",Oops! So Empty!,first,Oops! So Empty!
172,Nuptials,of or relating to marriage or the marriage ceremony,characteristic of or occurring in the breeding season,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"conjugal, connubial, marital, married, matrimonial, wedded",nonmarital,Oops! So Empty!,third,Oops! So Empty!
173,Oasis,a fertile or green area in an arid region (such as a desert),"something that provides refuge, relief, or pleasant contrast",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,first,Oops! So Empty!
174,Obdurate,stubbornly persistent in wrongdoing,resistant to persuasion or softening influences,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"affectless, callous, case-hardened, cold-blooded, compassionless, desensitized, hard, hard-boiled, hard-hearted, heartless, indurate, inhuman, inhumane, insensate, insensitive, ironhearted, merciless, pachydermatous, pitiless, remorseless, ruthless, slash-and-burn, soulless, stony 
 (also stoney), stonyhearted, take-no-prisoners, thick-skinned, uncharitable, unfeeling, unmerciful, unsparing, unsympathetic","charitable, compassionate, humane, kindhearted, kindly, merciful, sensitive, softhearted, sympathetic, tender, tenderhearted, warm, warmhearted","inflexible, obdurate, adamant mean unwilling to alter a predetermined course or purpose

inflexible implies rigid adherence or even servile conformity to principle
inflexible in their demands

obdurate stresses hardness of heart and insensitivity to appeals for mercy or the influence of divine grace
obdurate in his refusal to grant clemency

adamant implies utter immovability in the face of all temptation or entreaty
adamant that the work should continue",third,"inflexible, obdurate, adamant mean unwilling to alter a predetermined course or purpose<br><br>inflexible implies rigid adherence or even servile conformity to principle<br>inflexible in their demands<br><br>obdurate stresses hardness of heart and insensitivity to appeals for mercy or the influence of divine grace<br>obdurate in his refusal to grant clemency<br><br>adamant implies utter immovability in the face of all temptation or entreaty<br>adamant that the work should continue"
175,Obtuse,not pointed or acute,lacking sharpness or quickness of sensibility or intellect,measuring more than a right angle,not able to understand something obvious,lacking sharpness or quickness of sensibility or intellect,"blunt, blunted, dull, dulled","cutting, edged, edgy, ground, honed, keen, pointed, sharp, sharpened, whetted","dull, blunt, obtuse mean not sharp, keen, or acute

dull suggests a lack or loss of keenness, zest, or pungency
a dull pain

a dull mind
blunt suggests an inherent lack of sharpness or quickness of feeling or perception

a person of blunt sensibility
obtuse implies such bluntness as makes one insensitive in perception or imagination

too obtuse to take the hint",third,"dull, blunt, obtuse mean not sharp, keen, or acute<br><br>dull suggests a lack or loss of keenness, zest, or pungency<br>a dull pain<br><br>a dull mind<br>blunt suggests an inherent lack of sharpness or quickness of feeling or perception<br><br>a person of blunt sensibility<br>obtuse implies such bluntness as makes one insensitive in perception or imagination<br><br>too obtuse to take the hint"
176,Ostensibly,in an ostensible manner,to all outward appearances,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"apparently, evidently, ostensively, presumably, putatively, seemingly, supposedly","apparently, evidently, ostensively, presumably, putatively, seemingly, supposedly",Oops! So Empty!,third,Oops! So Empty!
177,Overtures,an initiative toward agreement or action,the orchestral introduction to a musical dramatic work,to put forward as an overture,to make or present an overture to,something first offered or suggested with the hope of reaching an agreement,"curtain-raiser, preamble, preliminary, prelude, prologue 
 (also prolog), warm-up","curtain-raiser, preamble, preliminary, prelude, prologue 
 (also prolog), warm-up",Oops! So Empty!,second,Oops! So Empty!
178,Pails,a usually cylindrical container with a handle,a usually round container with a handle,the quantity that a pail contains,pailful,Oops! So Empty!,bucket,bucket,Oops! So Empty!,third,Oops! So Empty!
179,Palpable,capable of being touched or felt,easily perceptible by the mind,easily perceptible,Oops! So Empty!,Oops! So Empty!,"appreciable, apprehensible, detectable, discernible 
 (also discernable), distinguishable, perceptible, sensible","impalpable, imperceptible, inappreciable, indistinguishable, insensible, undetectable","perceptible, sensible, palpable, tangible, appreciable, ponderable mean apprehensible as real or existent

perceptible applies to what can be discerned by the senses often to a minimal extent
a perceptible difference in sound to a careful listener

sensible applies to whatever is clearly apprehended through the senses or impresses itself strongly on the mind
an abrupt, sensible drop in temperature

palpable applies either to what has physical substance or to what is obvious and unmistakable
the tension in the air was almost palpable

tangible suggests what is capable of being handled or grasped both physically and mentally
no tangible evidence of UFOs

appreciable applies to what is distinctly discernible by the senses or definitely measurable
an appreciable increase in income

ponderable suggests having definitely measurable weight or importance
exerted a ponderable influence on world events",first,"perceptible, sensible, palpable, tangible, appreciable, ponderable mean apprehensible as real or existent<br><br>perceptible applies to what can be discerned by the senses often to a minimal extent<br>a perceptible difference in sound to a careful listener<br><br>sensible applies to whatever is clearly apprehended through the senses or impresses itself strongly on the mind<br>an abrupt, sensible drop in temperature<br><br>palpable applies either to what has physical substance or to what is obvious and unmistakable<br>the tension in the air was almost palpable<br><br>tangible suggests what is capable of being handled or grasped both physically and mentally<br>no tangible evidence of UFOs<br><br>appreciable applies to what is distinctly discernible by the senses or definitely measurable<br>an appreciable increase in income<br><br>ponderable suggests having definitely measurable weight or importance<br>exerted a ponderable influence on world events"
180,Paragon,to put in rivalry,to compare with,surpass,Oops! So Empty!,Oops! So Empty!,"beau ideal, classic, eidolon, exemplar, idea, ideal, model, nonesuch, nonpareil, patron saint","beau ideal, classic, eidolon, exemplar, idea, ideal, model, nonesuch, nonpareil, patron saint",Oops! So Empty!,first,Oops! So Empty!
181,Paramour,lover,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,first,Oops! So Empty!
182,Pariah,a member of a low caste of southern India,one that is despised or rejected,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"castaway, castoff, leper, offscouring, outcast, reject","castaway, castoff, leper, offscouring, outcast, reject",Oops! So Empty!,first,Oops! So Empty!
183,Parlance,manner or mode of speech,speech,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,first,Oops! So Empty!
184,Penchant,a strong and continued inclination,a strong liking for something or a strong tendency to behave in a certain way,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"affection, affinity, aptitude, bent, bias, bone, devices, disposition, genius, habitude, impulse, inclination, leaning, partiality, predilection, predisposition, proclivity, propensity, tendency, turn","affection, affinity, aptitude, bent, bias, bone, devices, disposition, genius, habitude, impulse, inclination, leaning, partiality, predilection, predisposition, proclivity, propensity, tendency, turn","leaning, propensity, proclivity, penchant mean a strong instinct or liking for something

leaning suggests a liking or attraction not strong enough to be decisive or uncontrollable
a student with artistic leanings

propensity implies a deeply ingrained and usually irresistible inclination
a propensity to offer advice

proclivity suggests a strong natural proneness usually to something objectionable or evil
a proclivity for violence

penchant implies a strongly marked taste in the person or an irresistible attraction in the object
a penchant for taking risks",first,"leaning, propensity, proclivity, penchant mean a strong instinct or liking for something<br><br>leaning suggests a liking or attraction not strong enough to be decisive or uncontrollable<br>a student with artistic leanings<br><br>propensity implies a deeply ingrained and usually irresistible inclination<br>a propensity to offer advice<br><br>proclivity suggests a strong natural proneness usually to something objectionable or evil<br>a proclivity for violence<br><br>penchant implies a strongly marked taste in the person or an irresistible attraction in the object<br>a penchant for taking risks"
185,Penitent,a person who repents of sin,a person under church censure but admitted to penance or reconciliation especially under the direction of a confessor,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"apologetic, compunctious, contrite, regretful, remorseful, repentant, rueful, sorry","impenitent, remorseless, unapologetic, unrepentant",Oops! So Empty!,first,Oops! So Empty!
186,Pensive,musingly or dreamily thoughtful,suggestive of sad thoughtfulness,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"broody, cogitative, contemplative, meditative, melancholy, musing, reflective, ruminant, ruminative, thoughtful",unreflective,Oops! So Empty!,third,Oops! So Empty!
187,Perfidy,the quality or state of being faithless or disloyal,an act or an instance of disloyalty,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"disloyalty, faithlessness, falseness, falsity, inconstancy, infidelity, perfidiousness, unfaithfulness","allegiance, constancy, devotedness, devotion, faith, faithfulness, fealty, fidelity, loyalty",Oops! So Empty!,third,Oops! So Empty!
188,Pester,to harass with petty irritations,overcrowd,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"bother, bug, chivy 
 (or chivvy), disturb, intrude (upon)","bother, bug, chivy 
 (or chivvy), disturb, intrude (upon)","worry, annoy, harass, harry, plague, pester, tease mean to disturb or irritate by persistent acts

worry implies an incessant goading or attacking that drives one to desperation
pursued a policy of worrying the enemy

annoy implies disturbing one's composure or peace of mind by intrusion, interference, or petty attacks
you're doing that just to annoy me

harass implies petty persecutions or burdensome demands that exhaust one's nervous or mental power
harassed on all sides by creditors

harry may imply heavy oppression or maltreatment
the strikers had been harried by thugs

plague implies a painful and persistent affliction
plagued all her life by poverty

pester stresses the repetition of petty attacks
constantly pestered with trivial complaints

tease suggests an attempt to break down one's resistance or rouse to wrath
children teased the dog",first,"worry, annoy, harass, harry, plague, pester, tease mean to disturb or irritate by persistent acts<br><br>worry implies an incessant goading or attacking that drives one to desperation<br>pursued a policy of worrying the enemy<br><br>annoy implies disturbing one's composure or peace of mind by intrusion, interference, or petty attacks<br>you're doing that just to annoy me<br><br>harass implies petty persecutions or burdensome demands that exhaust one's nervous or mental power<br>harassed on all sides by creditors<br><br>harry may imply heavy oppression or maltreatment<br>the strikers had been harried by thugs<br><br>plague implies a painful and persistent affliction<br>plagued all her life by poverty<br><br>pester stresses the repetition of petty attacks<br>constantly pestered with trivial complaints<br><br>tease suggests an attempt to break down one's resistance or rouse to wrath<br>children teased the dog"
189,Petty,having secondary rank or importance,having little or no importance or significance,marked by or reflective of narrow interests and sympathies,small and of no importance,showing or having a mean narrow-minded attitude,"illiberal, insular, Lilliputian, little, narrow, narrow-minded, parochial, picayune, provincial, sectarian, small, small-minded","broad-minded, catholic, cosmopolitan, liberal, open, open-minded, receptive, tolerant",Oops! So Empty!,first,Oops! So Empty!
190,Piebald,composed of incongruous parts,of different colors,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"assorted, eclectic, heterogeneous, indiscriminate, kitchen-sink, magpie, miscellaneous, mixed, motley, patchwork, promiscuous, raggle-taggle, ragtag, varied",homogeneous,Oops! So Empty!,third,Oops! So Empty!
191,Pliable,supple enough to bend freely or repeatedly without breaking,possible to bend without breaking,adjustable to varying conditions,easily influenced,Oops! So Empty!,"bendy 
[chiefly British], flexible, limber, lissome 
 (also lissom), lithe, lithesome, pliant, supple, willowy","inflexible, rigid, stiff, stiffened","plastic, pliable, pliant, ductile, malleable, adaptable mean susceptible of being modified in form or nature

plastic applies to substances soft enough to be molded yet capable of hardening into the desired fixed form
plastic materials allow the sculptor greater freedom

pliable suggests something easily bent, folded, twisted, or manipulated
pliable rubber tubing

pliant may stress flexibility and sometimes connote springiness
an athletic shoe with a pliant sole

ductile applies to what can be drawn out or extended with ease
ductile metals such as copper

malleable applies to what may be pressed or beaten into shape
the malleable properties of gold

adaptable implies the capability of being easily modified to suit other conditions, needs, or uses
computer hardware that is adaptable",first,"plastic, pliable, pliant, ductile, malleable, adaptable mean susceptible of being modified in form or nature<br><br>plastic applies to substances soft enough to be molded yet capable of hardening into the desired fixed form<br>plastic materials allow the sculptor greater freedom<br><br>pliable suggests something easily bent, folded, twisted, or manipulated<br>pliable rubber tubing<br><br>pliant may stress flexibility and sometimes connote springiness<br>an athletic shoe with a pliant sole<br><br>ductile applies to what can be drawn out or extended with ease<br>ductile metals such as copper<br><br>malleable applies to what may be pressed or beaten into shape<br>the malleable properties of gold<br><br>adaptable implies the capability of being easily modified to suit other conditions, needs, or uses<br>computer hardware that is adaptable"
192,Pliant,suitable for varied uses,pliable sense 1a,easily influenced,Oops! So Empty!,Oops! So Empty!,"bendy 
[chiefly British], flexible, limber, lissome 
 (also lissom), lithe, lithesome, pliable, supple, willowy","inflexible, rigid, stiff, stiffened","plastic, pliable, pliant, ductile, malleable, adaptable mean susceptible of being modified in form or nature

plastic applies to substances soft enough to be molded yet capable of hardening into the desired fixed form
plastic materials allow the sculptor greater freedom

pliable suggests something easily bent, folded, twisted, or manipulated
pliable rubber tubing

pliant may stress flexibility and sometimes connote springiness
an athletic shoe with a pliant sole

ductile applies to what can be drawn out or extended with ease
ductile metals such as copper

malleable applies to what may be pressed or beaten into shape
the malleable properties of gold

adaptable implies the capability of being easily modified to suit other conditions, needs, or uses
computer hardware that is adaptable",first,"plastic, pliable, pliant, ductile, malleable, adaptable mean susceptible of being modified in form or nature<br><br>plastic applies to substances soft enough to be molded yet capable of hardening into the desired fixed form<br>plastic materials allow the sculptor greater freedom<br><br>pliable suggests something easily bent, folded, twisted, or manipulated<br>pliable rubber tubing<br><br>pliant may stress flexibility and sometimes connote springiness<br>an athletic shoe with a pliant sole<br><br>ductile applies to what can be drawn out or extended with ease<br>ductile metals such as copper<br><br>malleable applies to what may be pressed or beaten into shape<br>the malleable properties of gold<br><br>adaptable implies the capability of being easily modified to suit other conditions, needs, or uses<br>computer hardware that is adaptable"
193,Poaching,to encroach upon especially for the purpose of taking something,to trespass for the purpose of stealing game,to trespass on,to take (game or fish) by illegal methods,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,third,Oops! So Empty!
194,Pontificating,to speak or express opinions in a pompous or dogmatic way,to officiate as a pontiff,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,third,Oops! So Empty!
195,Predilections,an established preference for something,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"affection, affinity, aptitude, bent, bias, bone, devices, disposition, genius, habitude, impulse, inclination, leaning, partiality, penchant, predisposition, proclivity, propensity, tendency, turn","affection, affinity, aptitude, bent, bias, bone, devices, disposition, genius, habitude, impulse, inclination, leaning, partiality, penchant, predisposition, proclivity, propensity, tendency, turn","predilection, prepossession, prejudice, bias mean an attitude of mind that predisposes one to favor something

predilection implies a strong liking deriving from one's temperament or experience
a predilection for travel

prepossession suggests a fixed conception likely to preclude objective judgment of anything counter to it
a prepossession against technology

prejudice usually implies an unfavorable prepossession and connotes a feeling rooted in suspicion, fear, or intolerance
a mindless prejudice against the unfamiliar

bias implies an unreasoned and unfair distortion of judgment in favor of or against a person or thing
a strong bias toward the plaintiff",third,"predilection, prepossession, prejudice, bias mean an attitude of mind that predisposes one to favor something<br><br>predilection implies a strong liking deriving from one's temperament or experience<br>a predilection for travel<br><br>prepossession suggests a fixed conception likely to preclude objective judgment of anything counter to it<br>a prepossession against technology<br><br>prejudice usually implies an unfavorable prepossession and connotes a feeling rooted in suspicion, fear, or intolerance<br>a mindless prejudice against the unfamiliar<br><br>bias implies an unreasoned and unfair distortion of judgment in favor of or against a person or thing<br>a strong bias toward the plaintiff"
196,Primp,"to dress, adorn, or arrange in a careful or finicky manner",to dress or groom oneself carefully,"to try to make yourself more attractive by making small changes to your clothes, hair, etc., especially while looking at yourself in a mirror",to dress or arrange in a careful or fussy manner,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,third,Oops! So Empty!
